Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
44113739369,ASHALI Dép Nam 2025 Phong Cách Mới Đế Dày Cao Chống Trơn Trượt Ngoài Trời Dép Đi Biển Thường Ngày Mùa Hè,"199,0k",2k+,ASHALI,15%,₫29.850,https://shopee.vn/product/971837775/44113739369,https://s.shopee.vn/5flA0on6V7
22336917168,Thùng 48 hộp Sữa tươi Tiệt Trùng Vinamilk Green Farm rất ít đường 110ml,"316,2k",400k+,vinamilk_official,6%,₫18.973,https://shopee.vn/product/975865932/22336917168,https://s.shopee.vn/5VRjoVnjq6
13691635214,"Khăn Tắm, Khăn Gội, Khăn Mặt Royal Towel Sợi Cotton Mềm Mịn, Thấm Hút Tốt, Không Xổ Lông, Không Phai Màu","19,0k",700k+,Royal Towel,14%,₫2.660,https://shopee.vn/product/768543343/13691635214,https://s.shopee.vn/5L8JcCoNB5
17118215227,"HM01 Máy hàn miệng túi nilon túi zip dập tay PFS 200 để bảo quản thực phẩm, bọc sản phẩm bán hàng, cắt màng co","179,0k",1k+,Hot shopping,6%,₫10.740,https://shopee.vn/product/419939572/17118215227,https://s.shopee.vn/6VKH0LjvoK
28510101187,[Có Hộp] Giày Sục Adifom Super.star nam nữ nhiều màu sắc,"89,0k",20k+,Đình Quân Sneaker,11%,₫9.790,https://shopee.vn/product/424059081/28510101187,https://s.shopee.vn/6L0qo2kZ9J
25643336836,"Dép Xăng - đan đi học đi chơi, Cross nam nữ phong cách hàn quốc thoáng khí êm chân DC05 - 2SEVEN","119,0k",8k+,2Seven.Store,9%,₫10.710,https://shopee.vn/product/234790256/25643336836,https://s.shopee.vn/6AhQbjlCUI
25735513732,"Kệ Để Đồ Nhà Bếp , Phòng Tắm Góc Tường Tam Giác 3-4 Tầng Có Bánh Xe","44,6k",30k+,GiaDung_TinPhat,6%,₫2.673,https://shopee.vn/product/980067109/25735513732,https://s.shopee.vn/60O0PQlppH
46600257031,"[Inox 304] Nồi mini 14cm cao cấp GORILLA CHEF phù hợp nấu 1 gói mì, luộc trứng, nấu cháo, sữa","75,0k",30k+,Gorilla Chef VN,4%,₫3.000,https://shopee.vn/product/195394684/46600257031,https://s.shopee.vn/4LFmQMsBCy
24431355998,Thùng 24 hộp sữa hạt Cao Đạm ít đường Vinamilk - hộp 180ml,"361,6k",100k+,vinamilk_official,6%,₫21.695,https://shopee.vn/product/975865932/24431355998,https://s.shopee.vn/4VZCcfrXs1
21548149502,"Dép Nam quai ngang , quai ngang da bò chữ H cao cấp Z-02","168,0k",5k+,gom_footwear,10%,₫16.800,https://shopee.vn/product/770618097/21548149502,https://s.shopee.vn/40cw1ktRsw
25165668065,"Kệ để đồ nhà tắm TOSUDO dán tường , để đồ nhà tắm đa năng, chất liệu nhôm không gỉ 100%, bao gồm keo dán","124,0k",10k+,Tosudo Official,9%,₫11.160,https://shopee.vn/product/1187194643/25165668065,https://s.shopee.vn/4AwME3soXz
19386440831,BMZAR Kệ chén có nắp đậy thép cacbon Kệ bát trên bồn rửa bát 65-125CM Kệ úp chén Có thể chịu được 200kg,"349,0k",7k+,BMZAR,6%,₫20.940,https://shopee.vn/product/1117225671/19386440831,https://s.shopee.vn/50VTDapdrA
54901868724,Dép Sahador Unisex Quai ngang Jean nam nữ thiết kế cao cấp - Chất liệu EVA cao 4cm siêu êm nhẹ D7706,"189,0k",205,SAHADOR Việt Nam,15%,₫28.350,https://shopee.vn/product/319829316/54901868724,https://s.shopee.vn/5AotPtp0WD
29283054918,"Combo 10 đôi tất nai trắng đen thể thao, vớ nam nữ cổ ngắn cổ trung cổ cao nam nữ KHO SỈ TẤT VỚ 91","44,1k",3k+,KHO SỈ TẤT VỚ,21%,₫9.261,https://shopee.vn/product/1369125157/29283054918,https://s.shopee.vn/4fscoyquX8
18092779403,"Ghế văn phòng hội trường hội nghị gấp gọn,ghế gaming, nệm nhỏ gọn tiện lợi nhiều màu sắc đẹp mắt","145,0k",50k+,hangdep.os,6%,₫8.700,https://shopee.vn/product/196678722/18092779403,https://s.shopee.vn/4qC31HqHCB
19749343756,"Bộ 7 chai lọ đựng gia vị thủy tinh RIOBEN, tiện dụng cho nhà bếp","139,0k",8k+,RIOBEN - Gia Dụng Thông Minh,9%,₫12.510,https://shopee.vn/product/316714417/19749343756,https://s.shopee.vn/30kOpuxFuq
26753987726,[LS] Combo 2 Túi Nước Giặt Xả Chanté Cao Cấp 8 Trong 1,"219,0k",200k+,MASAN CONSUMER OFFICIAL,14%,₫30.660,https://shopee.vn/product/987373161/26753987726,https://s.shopee.vn/3B3p2DwcZt
40252802562,"(CHÍNH HÃNG) (Đặt tăng 1 size) Dép sục nam nữ REDLEO_DRL_61 đúc cao su EVA nguyên khối, êm mềm nhẹ bền, không thấm nước","165,0k",1k+,HANA STORE11,17%,₫28.050,https://shopee.vn/product/94985705/40252802562,https://s.shopee.vn/2g7YRIyWao
26912821661,Kệ đựng đồ 3 4 tầng đa năng có bánh Xe đẩy spa Giá để đồ bỉm sữa tiện lợi Tủ 5 tầng ( LOẠI 1 ) 262,"169,0k",10k+,neosure123,9%,₫15.210,https://shopee.vn/product/188141640/26912821661,https://s.shopee.vn/2qQydbxtFr
23786743187,BMZAR Kệ Gấp Gọn kệ bếp để lò vi sóng kệ Để Đồ Đa Năng 3 / 4 / 5 tầng sơn tĩnh điện cao cấp (71/81/101cm),"429,0k",7k+,BMZAR,7%,₫30.030,https://shopee.vn/product/1117225671/23786743187,https://s.shopee.vn/3g05d8uiZ2
9235734302,"Kệ Nhà Tắm Để Đồ Đa Năng Dán Tường ERMO, Giá Treo Tường Đựng Mỹ Phẩm Chất Liệu Nhôm Không Gỉ 100%","100,0k",30k+,Gia Dụng Plus +,4%,₫4.000,https://shopee.vn/product/241961702/9235734302,https://s.shopee.vn/3qJVpRu5E5
41518915158,"[Tặng Sticker] Dép Sục Gia Đình Nesty Chất Liệu Eva Siêu Nhẹ, Không Mùi, Đế Thấp 3 cm NE50","125,0k",20k+,Nesty Viet Nam Store,17%,₫21.250,https://shopee.vn/product/1551182073/41518915158,https://s.shopee.vn/3LNFEWvzF0
22645372118,"Set Trà Sữa Tự Pha Trân Châu Đường Đen, Nguyên Liệu Làm Trà Sữa Phúc Long, Matcha 10 vị 8-10 Ly TRÀ HOA CÔ BA","15,0k",80k+,Trà Hoa Cô Ba-Trà Thảo Mộc,11%,₫1.650,https://shopee.vn/product/753175337/22645372118,https://s.shopee.vn/3VgfQpvLu3
23954135774,"[BH 1 NĂM][2 LIT] Hộp cơm cắm điện, Hộp hâm cơm văn phòng ZODAN Bảo Hành 1 Năm","223,0k",4k+,ZODAN Official Store,8%,₫17.840,https://shopee.vn/product/1041085930/23954135774,https://s.shopee.vn/1gF1FT2Kci
29475574787,[Bản Quai Khâu Chính Hãng] Dép nam quai da logo Fashion được khâu quai chắc chắn- dép nam đến mềm cao su 2 lớp,"135,0k",6k+,Kho Sỉ Dép Xinh VN,17%,₫22.950,https://shopee.vn/product/363650573/29475574787,https://s.shopee.vn/1qYRRm1hHl
14180167553,"Kệ Đựng Đồ Nhà Tắm Dán Tường Hình Chữ Nhật , Kệ Thép Sơn Tĩnh Điện Cao Cấp Không Rỉ Siêu Chắc","29,9k",200k+,Bag King,6%,₫1.794,https://shopee.vn/product/54416580/14180167553,https://s.shopee.vn/1LcAqr3bIg
26212616262,"Dép Cross baya band clog Nam Nữ Viền Màu ""Tặng Kèm 8 Chram Size Nữ Ngẫu Nhiên"" , Dép Sục Cross Unisex - Dép đi biển LL","135,0k",10k+,SAMDORE,15%,₫20.250,https://shopee.vn/product/943888414/26212616262,https://s.shopee.vn/1Vvb3A2xxj
18378726644,"Bộ Nồi Chảo Đá Cao Cấp Kèm Hấp Okby, Lion YEUBEVN Chống Dích, Chế Biến Ăn Dặm Cho Bé","259,0k",3k+,yeubevn,9%,₫23.310,https://shopee.vn/product/977046788/18378726644,https://s.shopee.vn/2LUi2gznGu
18594667824,【Rẻ/HCM】ghế lười hạt xốp Vỏ Ghế Lười Hình Hạt Đậu Thiết Kế Đơn Giản Phong Cách Cổ Điển Cho Người Lớn Và Trẻ Em,"98,0k",10k+,Powerhome,10%,₫9.800,https://shopee.vn/product/649536898/18594667824,https://s.shopee.vn/2Vo8Ezz9vx
4991420512,1H HỎA TỐC | Bộ Ga Giường Thun Silk Lạnh 4 Món ACHUASHOP Bộ Ga Trải Giường Ga Thun Lạnh Drap Giường-,"153,1k",8k+,Achua Shop - Bedding Store,10%,₫15.307,https://shopee.vn/product/62883773/4991420512,https://s.shopee.vn/20rre513ws
45500962697,Dép sục nam-nữ phi hành gia kèm charm hot trend trẻ trung phong cách,"139,0k",4k+,nganha399,12%,₫16.680,https://shopee.vn/product/7466021/45500962697,https://s.shopee.vn/2BBHqO0Qbv
7794843617,"Kệ để đồ nhà bếp, kệ để lò vi sóng nhiều tầng ( 3-4-5 tầng ) tiện lợi,khung sắt sơn tĩnh điện 25x25mm, mặt gỗ chắc chắn","250,0k",1k+,Nội thất 5C ,7%,₫17.500,https://shopee.vn/product/60585703/7794843617,https://s.shopee.vn/Ljdf17PKa
15696100774,{HÀNG SIÊU DÀY} Tấm tôn đục lỗ cài móc treo phụ kiện - 1mx50 & 1mx60,"160,0k",4k+,KeSatGiaTotVN,8%,₫12.800,https://shopee.vn/product/562624470/15696100774,https://s.shopee.vn/W33rK6lzd
42509318159,Dép Kẹp Nam Nữ Xỏ Ngón Tông Lào Thái Lan Mũi Tròn Phối 2 Màu Thời Trang Đế Bệt Cao Su Đi Biển,"48,0k",925,Trinh Lê Shop Giày Dép,27%,₫12.960,https://shopee.vn/product/472341408/42509318159,https://s.shopee.vn/16nGP8g0Y
11969764789,Bộ 2 Nhả Kem Đánh Răng Tự Động OENON - Kệ Treo Bàn Chải Đánh Răng Dán Tường Kèm Cốc Và Miếng Dán,"125,0k",100k+,OENON Official,8%,₫10.000,https://shopee.vn/product/491602961/11969764789,https://s.shopee.vn/BQDSi82fb
27025573082,"(NẶNG) Búa Đập Thịt, Dần Thịt 2 Đầu Chất Liệu Thép Không Gỉ Set Cao Cấp, Tiện Dụng Giúp Làm Mềm Thịt","69,0k",2k+,KHO SỈ BẢO QUỲNH,4%,₫2.760,https://shopee.vn/product/716731884/27025573082,https://s.shopee.vn/10zKSF4rym
5968549497,"Giá,kệ để chậu hoa cây cảnh,đồ trang trí gỗ thông không mối mọt KT D90 x C120 x R40","145,0k",10k+,NTHT Official Store,9%,₫13.050,https://shopee.vn/product/41416821/5968549497,https://s.shopee.vn/1BIkeY4Edp
42778483325,Dép sục nam AIZOMR G053T thời trang nam hiện đại chất liệu nhưa EVA mềm mại đàn hồi tốt chống thấm nước,"188,5k",461,AIZOMR Store,15%,₫28.274,https://shopee.vn/product/1253744953/42778483325,https://s.shopee.vn/gMU3d68ek
29112089327,"(RẺ VÔ ĐỊCH) Tủ Nhà Tắm 3 Tầng Treo Tường Không Cần Khoan, Chống Thấm Nước, Tủ Đựng Mỹ Phẩm, Tủ Thuốc Gia Đình","71,0k",10k+,KOKIMO shop,6%,₫4.260,https://shopee.vn/product/416326279/29112089327,https://s.shopee.vn/qfuFw5VJn
16308207877,"Gslife Kệ Để Đồ Tủ Bếp Inox, Giá Đựng Bát Đĩa Đa Năng, Sơn Tĩnh Điện Trắng, Có Ray Trượt","144,5k",5k+,Vnhieyliving,14%,₫20.230,https://shopee.vn/product/422472159/16308207877,https://s.shopee.vn/9fHImAXsOW
24368838885,Gối tựa đầu giường gối tựa lưng công thái học chống đau mỏi lưng cổ chất liệu nỉ nhung mềm mại đàn hồi - Suha decor,"219,0k",5k+,SUHA Home Decor,6%,₫13.140,https://shopee.vn/product/912252169/24368838885,https://s.shopee.vn/9paiyTXF3Z
26129611475,"Dép sục đúc nguyên khối SAHADOR Superstar đế mềm êm chân chống trượt cao 4cm, full size nam nữ SO01","119,0k",10k+,SAHADOR Việt Nam,15%,₫17.850,https://shopee.vn/product/319829316/26129611475,https://s.shopee.vn/9KeSNYZ94U
23722422744,"Khăn Tắm Xuất Hàn Quốc Cao Cấp, Size Lớn 70x140cm - Siêu Mềm Mịn, Siêu Bền","28,0k",30k+,Gia Dụng Thành Đạt 247,6%,₫1.680,https://shopee.vn/product/736015111/23722422744,https://s.shopee.vn/9UxsZrYVjX
27041370670,Điện thoại Apple iPhone 17 Pro Max 256GB,"38,0tr",10k+,Apple Flagship Store,4%,₫1.519.600,https://shopee.vn/product/88201679/27041370670,https://s.shopee.vn/AKWzZOVL2i
17482981750,"Thùng rác treo tủ bếp có ruột rời nút bấm thông minh tiện dụng, dán tường phòng tắm, toilet có quai xách Parroti - BN01","249,0k",40k+,Parroti Official Store,9%,₫22.410,https://shopee.vn/product/205948917/17482981750,https://s.shopee.vn/AUqPlhUhhl
40010763810,"[FREESHIP-giao ngay] Dép sục nam đế cao, giày quai hậu đi mưa đi chơi đi học đi làm đế mềm êm siêu bền, gi","159,0k",10k+,Vua Buôn Sỉ,15%,₫23.850,https://shopee.vn/product/17963429/40010763810,https://s.shopee.vn/9zu9AmWbig
29050492732,Dép tông xỏ ngón -  dép xỏ ngón đi biển độn đế 6cm chọn tăng 1 size dép nhà phương,"22,0k",10k+,Dép Nhà Phương,17%,₫3.740,https://shopee.vn/product/373956695/29050492732,https://s.shopee.vn/AADZN5VyNj
43552416637,Quạt mini cầm tay M2 5000mAh di động có thể sạc gió mạnh 100 tốc độ turbo phản lực màn hình hiển thị pin,"67,0k",4k+,DUYSTORE68,12%,₫8.040,https://shopee.vn/product/1385065291/43552416637,https://s.shopee.vn/8KlvBicx6O
43717685386,"(size 36-47)dép thời trang TONATHA với thiết kế trẻ trung, năng động và cực kỳ thoải mái.(ADILET kẻ sọc)","99,0k",2k+,SHOP GIAYDEP-SI LE TM79,17%,₫16.830,https://shopee.vn/product/1290990330/43717685386,https://s.shopee.vn/8V5LO1cJlR
29210894505,"Dép Cross Nam Band, Dép Cross Đế Thấp Band Dập Nổi Hạn Chế Trơn Trượt  Tặng Sticker","179,0k",10k+,Tiệm Dép Choco,15%,₫26.850,https://shopee.vn/product/1135939527/29210894505,https://s.shopee.vn/8094n6eDmM
54957363719,"[Tặng Charm, Vớ] Dép Sục MERCY TRUST BASIC Màu Loang Họa Tiết Marble Nam Nữ -Chất Liệu EVA Êm Nhẹ, Chống Trượt","138,0k",10k+,MERCY TRUST VN,17%,₫23.460,https://shopee.vn/product/1640064637/54957363719,https://s.shopee.vn/8ASUzPdaRP
